stp_code,total_attendances_more_4_hours,perc_4_hours_or_less_type_1,perc_4_hours_or_less_all,num_patients_more_4_hours_from_decision_to_admit_to_admission,num_patients_more_12_hours_from_decision_to_admit_to_admission
QOX,3564,0.7276893203883495,0.8091259640102828,1193,1
QHG,1450,0.7774708410067526,0.8521615008156607,400,0
QHL,8973,0.6857202900073552,0.7822615869934482,3584,7
QUY,4846,0.7163880386154933,0.7933739820065663,2087,299
QU9,6081,0.7394910297263084,0.820688231651579,1833,39
QUE,3531,0.681949198342641,0.681949198342641,1636,202
QYG,15992,0.7420346110302443,0.8198389004675266,4175,46
QT6,2048,0.5913274698302311,0.8063540090771558,853,65
QWU,4298,0.7350748606151726,0.8178504831327343,1321,5
QHM,11049,0.7921768256911984,0.8567260561736559,3334,31
QJK,3586,0.7411739224604722,0.7948747282919575,1209,26
QVV,561,0.8415393322014714,0.9161058770749215,873,8
QMF,13512,0.6303656154060843,0.7556953786070731,4531,938
QNQ,0,NA,NA,910,0
QR1,2886,0.6518174030106474,0.8004563368595727,1240,37
QOP,22006,0.6940495145767871,0.7430946321417731,6992,341
QRL,2737,0.856674195977197,0.9065168385818704,2379,1
QE1,9351,0.6235126529244176,0.7901292755184487,4407,203
QGH,4564,0.6812211820595222,0.7370664823136306,1265,39
QM7,7753,0.6223995300797885,0.74660086285789,2440,54
QOQ,8884,0.7099476439790576,0.7789334859531689,2417,41
QJ2,6207,0.666414686825054,0.7976066257988783,1178,12
QKS,10976,0.7103610882984078,0.7763787869527128,2916,191
QK1,5042,0.6429435627357484,0.7594121295987021,1651,7
QJM,4005,0.5043180086360173,0.7774134385594398,1424,41
QH8,5539,0.7609991731581008,0.7737613854511294,1436,3
QMM,7260,0.6170942878259952,0.6917720981574255,2484,77
QMJ,9224,0.7609934640522876,0.8112891016591992,3299,148
QRV,4720,0.6718551908719538,0.8605407002511449,3607,105
QPM,2823,0.5679239497086783,0.7847174559597346,1425,1
QT1,1038,0.8598954032480044,0.9196905222437137,305,7
QKK,10425,0.6891870359157398,0.8150513598382032,3623,418
QOC,3095,0.6355371900826446,0.7054905319250167,1457,77
QSL,1262,0.8585870059064061,0.9064838829195998,54,0
QWE,7223,0.7902587961616749,0.8362057236155834,2880,59
QF7,6626,0.7616027673681176,0.8061609572009478,2027,2
QNC,5163,0.543163871883595,0.6815518411151545,1622,64
QJG,2363,0.7902651717387436,0.8609836451347217,721,1
QXU,4016,0.8033597805857576,0.8400191212205712,937,3
QNX,6899,0.7468888888888889,0.8378346614014056,1470,14
QUA,9454,0.7183043738765728,0.8060837281808299,3160,131
QWO,6976,0.8179778212654925,0.8456329800181452,3052,1
