ccg_name,num_domiciliary_services
E38000004,91
E38000006,32
E38000007,62
E38000008,22
E38000010,87
E38000014,22
E38000015,28
E38000016,51
E38000020,56
E38000021,53
E38000024,36
E38000025,39
E38000026,172
E38000028,23
E38000030,24
E38000031,17
E38000034,31
E38000035,32
E38000038,112
E38000044,49
E38000045,159
E38000046,46
E38000048,74
E38000049,119
E38000050,67
E38000051,63
E38000052,49
E38000053,17
E38000059,35
E38000062,135
E38000064,45
E38000068,9
E38000070,25
E38000074,69
E38000077,67
E38000079,100
E38000080,38
E38000082,54
E38000084,48
E38000085,34
E38000086,99
E38000087,39
E38000089,105
E38000091,22
E38000097,144
E38000101,81
E38000102,59
E38000106,83
E38000107,87
E38000113,53
E38000117,81
E38000118,42
E38000119,20
E38000120,42
E38000121,24
E38000122,21
E38000126,30
E38000127,26
E38000130,44
E38000135,35
E38000136,125
E38000137,30
E38000138,70
E38000141,39
E38000143,32
E38000144,116
E38000146,105
E38000147,85
E38000150,80
E38000153,37
E38000154,37
E38000161,23
E38000163,13
E38000164,56
E38000167,49
E38000168,50
E38000170,23
E38000172,40
E38000173,34
E38000174,46
E38000175,61
E38000176,35
E38000178,21
E38000182,19
E38000183,39
E38000185,52
E38000186,41
E38000187,41
E38000188,61
E38000190,62
E38000191,61
E38000192,32
E38000194,30
E38000195,29
E38000197,69
E38000198,103
E38000200,9
E38000201,63
E38000202,24
E38000204,45
E38000205,33
E38000208,44
E38000210,68
E38000212,71
E38000215,39
E38000217,73
E38000220,240
E38000221,102
E38000222,143
E38000223,90
E38000224,76
E38000225,146
E38000226,28
E38000227,42
E38000228,55
E38000229,200
E38000230,212
E38000231,157
E38000232,102
E38000233,150
E38000234,50
E38000235,97
E38000236,173
E38000237,327
E38000238,105
E38000239,167
E38000240,294
E38000241,118
E38000242,231
E38000243,204
E38000244,325
E38000245,301
E38000246,214
E38000247,94
E38000248,162
W11000023,2
NA,1
