lad_name,num_domiciliary_services
Barking and Dagenham,91
Barnet,79
Barnsley,32
Bath and North East Somerset,19
Bedford,48
Bexley,53
Birmingham,238
Blackburn with Darwen,22
Blackpool,28
Bolton,51
"Bournemouth, Christchurch and Poole",89
Bracknell Forest,19
Bradford,89
Brent,56
Brighton and Hove,53
"Bristol, City of",58
Bromley,69
Buckinghamshire,89
Bury,36
Calderdale,39
Cambridgeshire,106
Camden,34
Central Bedfordshire,39
Cheshire East,86
Cheshire West and Chester,64
City of London,3
Cornwall,104
County Durham,50
Coventry,97
Croydon,115
Cumbria,66
Darlington,20
Derby,76
Derbyshire,126
Devon,145
Doncaster,49
Dorset,70
Dudley,46
Ealing,74
East Riding of Yorkshire,52
East Sussex,97
Enfield,97
Essex,319
Flintshire,2
Gateshead,33
Gloucestershire,135
Greenwich,58
Hackney,29
Halton,9
Hammersmith and Fulham,25
Hampshire,253
Haringey,56
Harrow,69
Hartlepool,13
Havering,67
"Herefordshire, County of",51
Hertfordshire,224
Hillingdon,54
Hounslow,48
Isle of Wight,39
Isles of Scilly,1
Islington,28
Kensington and Chelsea,20
Kent,272
"Kingston upon Hull, City of",34
Kingston upon Thames,41
Kirklees,69
Knowsley,22
Lambeth,49
Lancashire,205
Leeds,146
Leicester,144
Leicestershire,115
Lewisham,63
Lincolnshire,105
Liverpool,81
Luton,59
Manchester,73
Medway,55
Merton,44
Middlesbrough,18
Milton Keynes,87
Newcastle upon Tyne,38
Newham,53
Norfolk,141
North East Lincolnshire,20
North Lincolnshire,21
North Somerset,31
North Tyneside,26
North Yorkshire,155
Northamptonshire,231
Northumberland,44
Nottingham,80
Nottinghamshire,146
Oldham,35
Oxfordshire,127
Peterborough,61
Plymouth,37
Portsmouth,30
Reading,37
Redbridge,70
Redcar and Cleveland,13
Richmond upon Thames,20
Rochdale,38
Rotherham,39
Rutland,11
Salford,32
Sandwell,70
Sefton,46
Sheffield,105
Shropshire,85
Slough,35
Solihull,48
Somerset,80
South Gloucestershire,54
South Tyneside,13
Southampton,49
Southend-on-Sea,50
Southwark,33
St. Helens,40
Staffordshire,142
Stockport,46
Stockton-on-Tees,30
Stoke-on-Trent,60
Suffolk,170
Sunderland,35
Surrey,243
Sutton,49
Swindon,34
Tameside,17
Telford and Wrekin,39
Thurrock,52
Torbay,30
Tower Hamlets,41
Trafford,41
Unspecified,1
Wakefield,62
Walsall,61
Waltham Forest,32
Wandsworth,32
Warrington,30
Warwickshire,100
West Berkshire,29
West Sussex,162
Westminster,21
Wigan,33
Wiltshire,103
Windsor and Maidenhead,20
Wirral,44
Wokingham,36
Wolverhampton,68
Worcestershire,122
York,34
