code,ambulance_service,count_incidents,total_hours,mean_min_sec,centile_90th_min_sec,category
RX9,East Midlands,6166,761.36,07:25,13:15,cat1
RYC,East of England,6487,789.7102777777778,07:18,13:31,cat1
R1F,Isle of Wight,148,21.31527777777778,08:38,15:30,cat1
RRU,London,8349,1043.8502777777778,07:30,12:24,cat1
RX6,North East,2581,283.25138888888887,06:35,11:32,cat1
RX7,North West,8469,1073.3738888888888,07:36,12:44,cat1
RYE,South Central,3792,418.4008333333333,06:37,12:16,cat1
RYD,South East Coast,4327,604.8422222222222,08:23,15:07,cat1
RYF,South Western,8391,1156.489722222222,08:16,15:15,cat1
RYA,West Midlands,7150,829.061111111111,06:57,12:07,cat1
RX8,Yorkshire,5253,705.0561111111111,08:03,13:54,cat1
RX9,East Midlands,3719,1019.2647222222222,16:27,38:48,cat1t
RYC,East of England,3837,485.99277777777775,07:36,14:14,cat1t
R1F,Isle of Wight,78,12.7625,09:49,18:44,cat1t
RRU,London,5373,1031.3175,11:31,19:29,cat1t
RX6,North East,1541,197.98722222222221,07:43,13:47,cat1t
RX7,North West,5616,924.3630555555555,09:53,17:07,cat1t
RYE,South Central,2202,340.00888888888886,09:16,17:12,cat1t
RYD,South East Coast,2538,434.33888888888885,10:16,18:48,cat1t
RYF,South Western,4956,811.9341666666667,09:50,18:24,cat1t
RYA,West Midlands,4105,543.5297222222222,07:57,13:44,cat1t
RX8,Yorkshire,3427,518.2847222222222,09:04,16:18,cat1t
RX9,East Midlands,39406,17535.766666666666,26:42,54:40,cat2
RYC,East of England,46732,20714.011388888888,26:36,56:15,cat2
R1F,Isle of Wight,1053,384.79388888888894,21:56,42:36,cat2
RRU,London,65884,49129.368055555555,44:45,48:03,cat2
RX6,North East,20424,10914.271388888888,32:04,05:34,cat2
RX7,North West,51281,22638.842500000002,26:29,55:49,cat2
RYE,South Central,24408,7744.227777777778,19:02,37:47,cat2
RYD,South East Coast,37783,16883.506666666668,26:49,51:55,cat2
RYF,South Western,39490,17790.931111111113,27:02,55:19,cat2
RYA,West Midlands,44944,11066.145833333334,14:46,28:01,cat2
RX8,Yorkshire,37438,15010.764444444445,24:03,50:47,cat2
RX9,East Midlands,12834,17548.254722222224,22:02,14:50,cat3
RYC,East of England,14389,20288.16972222222,24:36,32:40,cat3
R1F,Isle of Wight,762,1045.6544444444446,22:20,23:08,cat3
RRU,London,19875,33701.9875,41:45,12:09,cat3
RX6,North East,6860,11749.401944444446,42:46,18:28,cat3
RX7,North West,19091,24745.629444444443,17:46,02:47,cat3
RYE,South Central,17078,17817.954166666666,02:36,23:34,cat3
RYD,South East Coast,16456,42570.159166666665,35:13,51:35,cat3
RYF,South Western,17486,22391.832777777778,16:50,09:41,cat3
RYA,West Midlands,31797,25266.37722222222,47:41,50:30,cat3
RX8,Yorkshire,13076,13612.359722222223,02:28,34:31,cat3
RX9,East Midlands,145,177.26805555555558,13:21,04:24,cat4
RYC,East of England,318,516.343888888889,37:25,56:00,cat4
R1F,Isle of Wight,34,62.57861111111111,50:26,15:10,cat4
RRU,London,1001,2914.0886111111113,54:40,34:32,cat4
RX6,North East,430,611.1077777777778,25:16,14:51,cat4
RX7,North West,2643,7780.5875,56:38,54:57,cat4
RYE,South Central,1043,1418.3266666666668,21:35,09:56,cat4
RYD,South East Coast,278,1001.3511111111111,36:07,42:55,cat4
RYF,South Western,395,674.5119444444445,42:27,56:55,cat4
RYA,West Midlands,1668,1700.4936111111112,01:10,25:19,cat4
RX8,Yorkshire,226,348.12361111111113,32:25,45:37,cat4
