code,perc_bed_occupied
R1H,0.86120178382603108
R1K,0.76610897712811288
RAL,0.73444159321655689
RAN,0.65562636256917661
RAP,0.99685607524803499
RAS,0.61787373310810811
RAT,0.8011516221905014
RAX,0.73142216128630189
RF4,0.73007981303465908
RJ1,0.60441965815219456
RJ2,0.8220115248902089
RJ6,0.81832613516983777
RJ7,0.73493821999256781
RJZ,0.87554606348898156
RKE,0.6703794745736672
RKL,0.84338087321725452
RP4,0.61997763957794694
RP6,0.31846153846153846
RPY,0.76289541179823306
RQM,0.69966927976482118
RQX,0.61523265248527181
RQY,0.85382720446383531
RRP,0.95470390962845286
RRV,0.67765356851950675
RT3,0.73185697551179785
RV3,0.9044375185514989
RVR,0.62978270485458365
RWK,0.83869755488477526
RYJ,0.64853863983266435
RYX,-
TAF,0.89569722910565441
RA4,0.78182921075689149
RA7,0.82431925504214665
RA9,0.7542889109895573
RBD,0.7287326717672904
RBZ,0.74804585721730055
RD1,0.91966396487673097
RD3,0.7482890029553585
RDY,0.78825488118662035
RDZ,0.88659331794653462
REF,0.71108772739066495
RH5,0.78544346408702748
RH8,0.71909287540145506
RJ8,0.87394035494297739
RK9,0.82756009380496376
RN3,0.86273611031532316
RNZ,0.83616922588677578
RTE,0.83214190822020073
RTQ,0.89137275468729504
RVJ,0.83638862855357698
RVN,0.74613944782405239
RWV,0.94997057092407311
R1C,0.71966876851781503
R1F,0.7319674728059985
RA2,0.70785103816441242
RDU,0.82993914418515502
RHM,0.7387345492424594
RHU,0.83462370962370958
RHW,0.88517719051910226
RN5,0.67661508851014263
RN7,0.87075755248897568
RNU,0.85254371213809588
RPA,0.74236628562584306
RPC,0.39214175654853622
RPG,0.77772012235088483
RTH,0.76049454955247819
RTK,0.78064271094887416
RTP,0.8630019650324986
RVV,0.71446988171846637
RW1,0.71655087404751239
RWF,0.76723984535498813
RWX,0.72839368409306471
RX2,0.94903715962088164
RXC,0.82928052929463958
RXH,0.75289344649924084
RXQ,0.87406210810466123
RXX,0.86949485608600163
RXY,0.90338742790106563
RYR,0.75601057683761452
R1A,0.83686019171640436
RBK,0.76438073824245834
RFS,0.6435627530364374
RHA,0.87182362931393598
RJC,0.66477502130904842
RJE,0.74100400525590904
RK5,0.70671980721104832
RKB,0.74413336264660623
RL1,0.6611240438975724
RL4,0.79945080211795927
RLQ,0.73669980450064476
RLT,0.72814190059232542
RLY,0.77863493723849364
RNA,0.80333880150535553
RNQ,0.77761969800440101
RNS,0.73366894223443824
RP1,0.83301318990907924
RP7,0.85349213691026826
RQ3,0.59993161673811835
RRE,0.85259248327430148
RRJ,0.50220132079247548
RRK,0.84715367554498766
RTG,0.69266916584324578
RWD,0.80534115893765579
RWE,0.76134408882402005
RWP,0.65544619755466493
RX1,0.73355468081465003
RXK,0.74309957236786506
RXM,0.69014702655255644
RXT,0.93843368778132941
RXW,0.73422620341783706
RY5,0.89710610932475887
RY8,0.51160791057609634
RYG,0.75828571428571423
RYW,0.84165218764808092
TAJ,0.86777288945855124
R1L,0.70388610032515697
RAJ,0.75486639405247336
RC9,0.77817060554623707
RCX,0.74243343853686172
RD8,0.76533929297033731
RDE,0.79853842138520292
RGM,0.6336911718077638
RGN,0.75045201975657083
RGP,0.74395624597849064
RGR,0.73087660524846454
RGT,0.90937162080980416
RM1,0.81074824400930501
RMY,0.82717851047515389
RQW,0.73396331812680382
RT1,0.74745458850590263
RWG,0.69393766343061525
RWH,0.77088705973787408
RWR,0.85112367147145529
RY3,1
R0A,0.76341383524194673
RBL,0.69414905192299325
RBN,0.83272078446921749
RBQ,0.82517419238078005
RBS,0.80489130434782608
RBT,0.78196687370600415
RBV,0.87893918310550878
REM,0.78315110027280688
REN,0.70505765199161419
REP,0.55267848766300776
RET,0.60397696839850024
RJN,0.69511988907301558
RJR,0.7769666269368295
RM3,0.8998003202072351
RMC,0.73596796782418217
RMP,0.69815352149828536
RRF,0.66749125809091581
RT2,0.84752930064826337
RTV,0.84442701329747494
RTX,0.78261307545079073
RVY,0.7147253787878789
RW4,0.86274149597379146
RW5,0.90461526313711549
RW6,0.78786519988839732
RWJ,0.82477527398103678
RWW,0.7436051352555042
RXA,0.8800883327199116
RXL,0.80176211453744495
RXN,0.63960980309508031
RXR,0.70505602318969851
R0B,0.70197229480617107
RAE,0.7154326799623385
RCB,0.65336612820072171
RCD,0.7906078560456441
RCF,0.66089270046135118
RCU,0.52954561125284427
RFF,0.91420984713122888
RFR,0.82163032574837658
RGD,0.79827104956505246
RHQ,0.74010485422245698
RJL,0.78109186912656758
RNN,0.82453723466180306
RP5,0.73792787079887212
RR7,0.75279453513129879
RR8,0.75731781670090026
RTD,0.71934210107314589
RTF,0.70316954981908386
RTR,0.73986757088695465
RV9,0.65299585149398731
RVW,0.81805113908611748
RWA,0.73700543872752711
RWY,0.72429155832325798
RX3,0.84225882215641368
RX4,0.844992917075297
RXE,0.75902371949123404
RXF,0.70428111587982833
RXG,0.8692652081602511
RXP,0.64683768766993743
RY6,0.60733695652173914
TAD,0.82635078092021952
TAH,0.83791189970541879
